# psilink OS-layer package attribution: the default image
#
# Every package installed in the built image, with the version and the
# license string the image's own package manager declares. Generated by
# scripts/generate-os-package-attribution.mjs, which is what to edit and
# re-run; nothing reads a hand edit made here. It accompanies NOTICE,
# which covers this repository's npm tree and no OS package.
#
# image: the default image, built from Dockerfile
# base pin: node:26-alpine@sha256:2d984a15c9b54fd0aeb608b8e0d0d83529eb34d2966db27a1fb4f1edc3d298a3
# query: apk list --installed
# architectures:
#   linux/amd64 and linux/arm64 were built and queried on 2026-09-11 and
#   agree on every package's name, version and license, so one list holds
#   for both. The drift check on .github/workflows/image_smoke.yaml
#   compares linux/amd64 only, that job building no other architecture.
# license field: the string the package manager declares, not an audit of
#   the package's contents. A disjunctive expression is recorded as
#   declared and resolved nowhere. See docs/spec/CONTAINER_IMAGES.md,
#   Measured inventories.
#
# package	version	license
acl-libs	2.3.2-r1	LGPL-2.1-or-later AND GPL-2.0-or-later
alpine-baselayout	3.7.2-r1	GPL-2.0-only
alpine-baselayout-data	3.7.2-r1	GPL-2.0-only
alpine-keys	2.6-r0	MIT
alpine-release	3.24.1-r0	MIT
apk-tools	3.0.6-r0	GPL-2.0-only
brotli-libs	1.2.0-r1	MIT
busybox	1.37.0-r31	GPL-2.0-only
busybox-binsh	1.37.0-r31	GPL-2.0-only
ca-certificates-bundle	20260611-r0	MPL-2.0 AND MIT
gdbm	1.26-r0	GPL-3.0-or-later
gmp	6.3.0-r4	LGPL-3.0-or-later OR GPL-2.0-or-later
gnutls	3.8.13-r0	LGPL-2.1-or-later
icu-data-en	78.1-r0	ICU
icu-libs	78.1-r0	ICU
jansson	2.15.0-r0	MIT
ldb	4.23.8-r0	GPL-3.0-or-later AND LGPL-3.0-or-later
libapk	3.0.6-r0	GPL-2.0-only
libarchive	3.8.7-r0	BSD-2-Clause AND BSD-3-Clause AND Public-Domain
libauth-samba	4.23.8-r0	GPL-3.0-or-later AND LGPL-3.0-or-later
libbz2	1.0.8-r6	bzip2-1.0.6
libcap2	2.78-r0	BSD-3-Clause OR GPL-2.0-only
libcrypto3	3.5.7-r0	Apache-2.0
libexpat	2.8.4-r0	MIT
libffi	3.5.2-r1	MIT
libformw	6.6_p20260516-r0	X11
libgcc	15.2.0-r5	GPL-2.0-or-later AND LGPL-2.1-or-later
libidn2	2.3.8-r0	GPL-2.0-or-later OR LGPL-3.0-or-later
libldap	2.6.14-r0	OLDAP-2.8
libncursesw	6.6_p20260516-r0	X11
libpanelw	6.6_p20260516-r0	X11
libsasl	2.1.28-r9	BSD-3-Clause-Attribution AND BSD-4-Clause
libsmbclient	4.23.8-r0	GPL-3.0-or-later AND LGPL-3.0-or-later
libssl3	3.5.7-r0	Apache-2.0
libstdc++	15.2.0-r5	GPL-2.0-or-later AND LGPL-2.1-or-later
libtasn1	4.21.0-r0	LGPL-2.1-or-later
libunistring	1.4.2-r0	GPL-2.0-or-later OR LGPL-3.0-or-later
libwbclient	4.23.8-r0	GPL-3.0-or-later AND LGPL-3.0-or-later
linux-pam	1.7.1-r2	BSD-3-Clause
lmdb	0.9.35-r0	OLDAP-2.8
lz4-libs	1.10.0-r1	BSD-2-Clause AND GPL-2.0-or-later
musl	1.2.6-r2	MIT
musl-utils	1.2.6-r2	MIT AND BSD-2-Clause AND GPL-2.0-or-later
ncurses-terminfo-base	6.6_p20260516-r0	X11
nettle	3.10.2-r0	GPL-2.0-or-later OR LGPL-3.0-or-later
p11-kit	0.26.2-r0	BSD-3-Clause
popt	1.19-r4	MIT
readline	8.3.3-r1	GPL-3.0-or-later
samba-client	4.23.8-r0	GPL-3.0-or-later AND LGPL-3.0-or-later
samba-client-libs	4.23.8-r0	GPL-3.0-or-later AND LGPL-3.0-or-later
samba-common	4.23.8-r0	GPL-3.0-or-later AND LGPL-3.0-or-later
samba-libs	4.23.8-r0	GPL-3.0-or-later AND LGPL-3.0-or-later
samba-util-libs	4.23.8-r0	GPL-3.0-or-later AND LGPL-3.0-or-later
scanelf	1.3.9-r1	GPL-2.0-only
skalibs-libs	2.15.0.0-r0	ISC
ssl_client	1.37.0-r31	GPL-2.0-only
talloc	2.4.4-r1	LGPL-3.0-or-later
tdb-libs	1.4.15-r1	LGPL-3.0-or-later
tevent	0.17.1-r1	LGPL-3.0-or-later
utmps-libs	0.1.3.3-r0	ISC
xz-libs	5.8.4-r0	GPL-2.0-or-later AND 0BSD AND Public-Domain AND LGPL-2.1-or-later
zlib	1.3.2-r0	Zlib
zstd-libs	1.5.7-r2	BSD-3-Clause OR GPL-2.0-or-later
