# psilink OS-layer package attribution: the FIPS variant image
#
# Every package installed in the built image, with the version and the
# license string the image's own package manager declares. Generated by
# scripts/generate-os-package-attribution.mjs, which is what to edit and
# re-run; nothing reads a hand edit made here. It accompanies NOTICE,
# which covers this repository's npm tree and no OS package.
#
# image: the FIPS variant image, built from Dockerfile.fips
# base pin: amazonlinux:2023@sha256:181f98c48832fe926f8ca3b6ffeafcce128e96e77b93d08fbe9a9bc9403ce284
# query: rpm -qa --qf "%{NAME}\t%|EPOCH?{%{EPOCH}}:{0}|\t%{VERSION}\t%{RELEASE}\t%{ARCH}\t%{LICENSE}\n"
# architectures:
#   linux/amd64 and linux/arm64 were built and queried on 2026-09-11 and
#   agree on every package's name, version and license, so one list holds
#   for both. The drift check on .github/workflows/image_smoke.yaml
#   compares linux/amd64 only, that job building no other architecture.
# license field: the string the package manager declares, not an audit of
#   the package's contents. A disjunctive expression is recorded as
#   declared and resolved nowhere. See docs/spec/CONTAINER_IMAGES.md,
#   Measured inventories.
#
# package	version	license
alternatives	0:1.15-2.amzn2023.0.2	GPLv2
amazon-linux-repo-cdn	0:2023.12.20260817-0.amzn2023	MIT
audit-libs	0:3.1.5-1.amzn2023.0.2	LGPL-2.0-or-later
avahi-libs	0:0.8-14.amzn2023.0.14	LGPLv2+
basesystem	0:11-11.amzn2023.0.2	Public Domain
bash	0:5.2.15-1.amzn2023.0.2	GPLv3+
bzip2-libs	0:1.0.8-6.amzn2023.0.2	BSD
ca-certificates	0:2025.2.76-1.0.amzn2023.0.3	Public Domain
coreutils-single	0:8.32-30.amzn2023.0.5	GPLv3+
cracklib	0:2.9.6-27.amzn2023.0.2	LGPLv2+
crypto-policies	0:20260224-1.gitea0f072.amzn2023.0.6	LGPL-2.1-or-later
cryptsetup-libs	0:2.6.1-1.amzn2023.0.1	GPLv2+ and LGPLv2+
curl-minimal	0:8.17.0-1.amzn2023.0.3	curl
cyrus-sasl-lib	0:2.1.27-18.amzn2023.0.3	BSD with advertising
dbus	1:1.12.28-1.amzn2023.0.1	(GPLv2+ or AFL) and GPLv2+
dbus-broker	0:32-1.amzn2023.0.2	ASL 2.0
dbus-common	1:1.12.28-1.amzn2023.0.1	(GPLv2+ or AFL) and GPLv2+
dbus-libs	1:1.12.28-1.amzn2023.0.1	(GPLv2+ or AFL) and GPLv2+
device-mapper	0:1.02.185-1.amzn2023.0.5	GPLv2
device-mapper-libs	0:1.02.185-1.amzn2023.0.5	LGPLv2
diffutils	0:3.8-1.amzn2023.0.2	GPLv3+
